,N,NMISS,SUM,MEAN,MEDIAN,STD,VAR,MIN,P1,P5,P10,P25,P50,P75,P90,P95,P99,MAX
P. Mass (EU),3842.0,33.0,2222632.95,578.5093571056742,11.79,2133.5839886796575,4552180.636750197,0.0,0.3441,1.07,1.86,4.012499999999999,11.79,207.14000000000001,1068.9810000000011,2988.4809999999993,11315.484600000047,29759.18
P. Radius (EU),3863.0,12.0,20810.510000000002,5.387136940201916,2.74,4.805068593488558,23.08868418813011,0.1,0.75,1.06,1.25,1.72,2.74,10.195,11.68,14.34,18.48,28.0
P. Density (EU),3834.0,41.0,5846.530000000001,1.5249165362545647,0.85,14.067199569809121,197.88610373683792,0.0,0.03,0.09,0.19,0.2,0.85,1.18,1.57,2.12,13.73,573.18
P. Gravity (EU),3834.0,41.0,24443.25,6.375391236306729,1.6749999999999998,27.874533824178176,776.9896359152533,0.01,0.37,0.51,0.56,0.88,1.6749999999999998,3.28,7.57,21.22,104.37010000000022,898.75
P. Esc Vel (EU),3834.0,41.0,16235.26,4.234548774126239,2.15,5.806083036507007,33.71060022681443,0.08,0.67,0.98,1.13,1.39,2.15,4.25,9.331000000000008,15.61,31.393700000000006,47.31
P. SFlux Mean (EU),3829.0,46.0,3163335.7973447684,826.1519449842697,58.40392,13721.296823416344,188273986.51629543,2.97e-10,1.3260000000000005e-05,0.045580522,0.48219166,7.844633,58.40392,257.5857,879.2120800000001,1581.850799999999,3890.757719999997,607266.0
P. Surf Press (EU),3834.0,41.0,17367027.8,4529.741210224309,7.6,40874.432364054024,1670719221.0836272,0.0,0.2,0.6,0.8,1.9,7.6,41.05,626.1,5252.519999999994,102639.07500000049,1266548.4
P. Mag,3819.0,56.0,-90214.59,-23.622568735271013,-23.58,3.8963987248111644,15.181923022710068,-36.27,-32.1082,-30.4,-28.63,-25.36,-23.58,-21.88,-19.717999999999996,-17.968,-10.167999999999983,1.55
P. Appar Size (deg),3863.0,12.0,39771.14,10.295402536888428,5.22,9.232945297025221,85.24727885786014,0.19,1.43,2.02,2.38,3.28,5.22,19.475,22.34,27.51,35.69,55.34
P. Period (days),3725.0,150.0,2684798.0,720.7511409395973,12.9,13783.096443873286,189973747.5811124,0.03,0.6724000000000001,1.65,2.61,4.63,12.9,49.77,499.792,1254.9999999999986,5656.639999999997,730000.0
P. Sem Major Axis (AU),3840.0,35.0,41314.1951,10.758904973958332,0.11,180.14521762059985,32452.299431573283,0.0014,0.013977999999999999,0.0269,0.0361,0.055,0.11,0.3121,1.7319999999999982,3.4004999999999974,104.22000000000025,6900.0
P. Eccentricity,3875.0,0.0,229.01000000000002,0.059099354838709685,0.0,0.13939869832823432,0.019431997095606075,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.23,0.38,0.6925999999999976,0.97
P. Inclination (deg),724.0,3151.0,60113.7,83.0299723756906,87.75,15.475736579643014,239.49842268250083,1.8,9.692,46.32,79.63,85.2,87.75,89.125,89.8,89.9,90.0,90.0
P. Omega (deg),3875.0,0.0,148350.0,38.28387096774193,0.0,89.46165493178,8003.387703132878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,188.65999999999985,281.0,353.0,360.0
S. Mass (SU),3828.0,47.0,3723.4,0.972675026123302,0.96,0.335840309976631,0.1127887138051996,0.02,0.11,0.47,0.61,0.81,0.96,1.11,1.29,1.49,2.17,4.5
